id,receipt_id,item,price
101,8,HUSHROOHS WHITE BUTTON ,4.71
102,8,ONIONS BROWN ,1.64
103,8,SHANGHAI BOK CHOY ,3.99
104,8,SUPERB HERB CORIANDER POTTED ,3.79
105,8,CASHEWS ROASTED UNSALTED ,8.07
106,8,ANCHOR CREAN PLASTIC BOTTLE 300KL ,3.13
107,8,CHARLIES HNST ORNGE  FIBRE JUICE 1.5L ,8.99
108,8,PF_CHARLIES HONEST J ,"1.00"
109,8,HAINLAND GRATED PARMESAN CHEESE Z00G ,6.59
110,8,HEADY FRESH SOUR CREAH I.ITE 2506 ,3.69
111,8,T/C GOURMET YOGHURT BOYSENBERRY 500G ,5.19
112,8,HZ BEEF STIR FRY ,10.07
113,8,NZ CHICKEN WINGS ,8.25
114,9, Macro Free Range Chicken Whole ,"19.30"
115,9,Classic Yellow Nectarine 0.850 kg NET @ 6.50/kg ,5.53
116,9,Srbnt Toilet Tissue T&L Silky White 8s ,8.99
117,9,Ayan Coconut Cream 270m ,3.59
118,9,Barilla P/sce Base Per Bolognese 400g G72 Barilla Sauce Pasta Arabiata Chli 400g ,5.29
119,9,Campbells Real Stock Vegetable il ,5.69
120,9,Hainland Butter Unsalted 500g ty 2@ 9.69 each ,19.38
121,9,Wi Non Homogenised Milk iL ,3.99
122,9,Wid Lean Beef Mince 52 Fat 500g i ,"13.50"
123,9,La Molisana Pastico Rigatoni Divini 500g ,"3.50"
124,9,WW Grated Italian Blend 300g ,"7.90"
125,9,Garlic 5p Loa Meadowfresh Sour Cream Lite 250gm ,4.55
126,9,Hainland Natural ChsSlice Swiss 180g ,"6.20"
127,9,Holland BakeHouse Almond Fingers 264g 5359 WW Barn Eggs Mixed Mixed Grade 12pk ,"8.00"
128,9,Gourmet Brioche ChocChip Tear Share 400g ,"8.60"
129,10,BB Copper Kettle Sea Salt 150g Oty 2@ 5.00 each ,"10.00"
130,10,Oyster Bay Marlb Chardonnay 750m ,"17.00"
131,10,Oyster Bay Marlb Sauvign Blanc 750m ,"17.00"
132,10,WW Lean Beef Mince 92 Fat 500g ,"13.70"
133,10,Villani Antipasto ItalianAppetizer120g ,15.99
134,10,Macro Hot Roast Chicken Medium ,"16.90"
135,11, Brioche Chocolate Hot Cross Buns 6pk ,"6.50"
136,11,Potato Agria Brushed Loose 1.520 kg NET @ 3.49/kg ,"5.30"
137,11,1.510 kg NET @ 3.69/kg h8h7 Ess Baby Wps Frgrnc Free 80pk ,1.99
138,11,Domestos Cleaner Regular 750m ,"5.00"
139,11,Pumpkin Buttercup Ea ,"3.00"
140,11,Kikkoman Sauce Soy 250m ,"6.40"
141,11,Gourmet Brioche ChocChip Tear Share 400g ,"8.60"
142,11,Hae Ploy Cream Coconut 400m ,"3.40"
143,11,Tomato 750g CD ,"3.70"
144,11,Villani Antipasto ItalianAppetizer120g ,"14.30"
145,11,Regal Cold Smkd Manuka Slices 200g ,"18.00"
146,11,WW Grated Parmesan 200g ,"7.90"
147,11,Persil Ultimate Sensitive Liquid 4L ,"34.00"
148,12, Srbnt Toilet Tissue TAL Silky White 8s ,"8.50"
149,12,WW Chicken DrunstckslLarge ,11.09
150,12,The Collective Rspbry 500g ,"5.30"
151,12,WW Grated Parmesan 200g p ,"6.90"
152,12,Barilla P/sce Base Per Bolognese 400g ,"4.80"
153,12,Barilla Sauce Pasta Arabiata Ch1i 400g Qty 26 4.80 each ,"9.60"
154,12,Meadow fresh Sour Cream Lite 250gn ,4.55
155,12,J Salmon Pink 210g ,"4.70"
156,12,Red Seal Peppermint Tea Bags 50s ,5.39
157,12,Healtheries Tea Chamomile 40s ,6.39
158,12,Bell Tea Bags excl Ceylon 30s ,"2.30"
159,12,La Molisana Pastico Rigatoni Divini 500g ,"3.50"
160,12,Kilkenny Drght Irsh Ale Can 6X440m1 ,31.99
161,13, Asahi Super Dry Lager Can 6X500ml ,"25.00"
162,13,Toscano Choc Chip Waffles 360g ,7.69
163,13,Gourmet Brioche ChocChip Tear Share 400g ,"8.60"
164,13,Toscano Tiramisu 9006 ,"11.00"
165,14,Arnotts Biscuits Nice 250g X Oty 20 3.59 each ,7.18
166,14,A Juice Bro Hazy Pale 6x330ml Cans ,23.99
167,15, Croissant 10Pack ,"11.20"
168,15,Nivea Men Shave Gel Sensitive 200m ,7.49
169,15,Gillette Mach 3 Blades 10pk ,36.99
170,15,Villani Antipasto ItalianAppetizer120g ,15.99
171,15,Chapoutier Cote Du Rhone 750ml ,"20.00"
172,16, Seeded Loaf ,"5.40"
173,16,Banana Cavendish 1.700 kg NET @ 3.65/kg ,6.21
